a52dec 0.7.4-8
aalib 1.4rc5-10
acl 2.2.52-2
acpi 1.6-1
alsa-lib 1.0.27.2-1
alsa-oss 1.0.25-2
alsa-plugins 1.0.27-2
alsa-utils 1.0.27.2-1
apache 2.2.25-1
apr 1.4.8-2
apr-util 1.5.2-3
arandr 0.1.7.1-1
archlinux-keyring 20131027-1
arj 3.10.22-8
asciidoc 8.6.8-2
aspell 0.60.6.1-1
aspell-en 7.1-2
at-spi2-atk 2.10.0-1
at-spi2-core 2.10.1-1
ati-dri 9.2.2-1
atk 2.10.0-1
atkmm 2.22.7-1
attr 2.4.47-1
autoconf 2.69-1
automake 1.14-1
avahi 0.6.31-10
baobab 3.10.1-1
barcode 0.99-1
bash 4.2.045-5
bc 1.06-8
binutils 2.23.2-3
bison 3.0-1
bitcoin-qt 0.8.5-1
bittorrent-sync 1.1.70-1
boost 1.54.0-4
boost-libs 1.54.0-4
bzip2 1.0.6-5
ca-certificates 20130906-1
ca-certificates-java 20130815-1
cairo 1.12.16-1
cairomm 1.10.0-3
cclive 0.9.2-1
cdparanoia 10.2-5
chromaprint 1.0-1
cifs-utils 6.1-1
clive 2.3.3-2
cloog 0.18.1-2
cmake 2.8.12-1
colord 1.0.2-2
compositeproto 0.4.2-2
confuse 2.7-2
coreutils 8.21-2
cracklib 2.9.0-1
cronie 1.4.9-5
cryptsetup 1.6.2-2
ctags 5.8-3
curl 7.33.0-2
cvs 1.11.23-9
damageproto 1.2.1-2
db 5.3.28-1
dbus 1.6.16-1
dbus-glib 0.100.2-1
dconf 0.18.0-1
deluge 1.3.6-3
desktop-file-utils 0.22-1
device-mapper 2.02.103-2
dhclient 4.2.5.p1-2
dhcpcd 6.0.5-1
dialog 1:1.2_20130928-1
diffutils 3.3-1
dirmngr 1.1.1-1
djvulibre 3.5.25.3-1
dmenu 4.5-3
dmidecode 2.12-2
dnssec-anchors 20130320-1
dnsutils 9.9.2.P2-1
docbook-xml 4.5-5
docbook-xsl 1.78.1-1
dropbox 2.2.13-1
e2fsprogs 1.42.8-2
easytag 2.1.8-2
ed 1.9-1
elfutils 0.156-2
emacs 24.3-4
enca 1.15-1
erlang R16B02-1
erlang-docs R16B-1
ethtool 1:3.11-1
evince 3.10.0-2
exo 0.10.2-1
expat 2.1.0-3
faac 1.28-5
faad2 2.7-4
fakeroot 1.20-1
feh 2.9.3-1
ffmpeg 1:2.1-1
ffmpeg-compat 1:0.10.9-1
ffmpeg2theora 0.29-4
ffmpegthumbnailer 2.0.8-4
fftw 3.3.3-2
figlet 2.2.5-1
file 5.15-1
file-roller 3.10.1-1
filesystem 2013.05-2
filezilla 3.7.3-1
findutils 4.4.2-5
firefox 24.0-1
fish 2.1.0-1
fixesproto 5.0-2
flac 1.3.0-1
flex 2.5.37-1
fontconfig 2.11.0-1
fontsproto 2.1.2-1
freeglut 2.8.1-1
freetype2 2.5.0.1-2
fribidi 0.19.5-1
ftgl 2.1.3rc5-5
fuse 2.9.3-2
gamin 0.1.10-8
garcon 0.2.1-1
gawk 4.1.0-2
gc 7.2.d-2
gcc 4.8.2-3
gcc-libs 4.8.2-3
gconf 3.2.6-3
gd 2.1.0-2
gdbm 1.10-2
gdk-pixbuf2 2.30.0-1
geoip 1.5.1-2
geoip-database 20130919-1
gettext 0.18.3.1-2
ghostscript 9.10-1
giblib 1.2.4-6
giflib 5.0.4-2
git 1.8.4.2-1
gitg 0.2.7-2
gksu 2.0.2-4
glamor-egl 0.5.1-1
glances 1.7-2
glew 1.10.0-2
glib-networking 2.38.1-1
glib2 2.38.1-1
glibc 2.18-8
glibmm 2.38.0-1
glu 9.0.0-2
gmp 5.1.3-2
gnome-desktop 1:3.10.1-1
gnome-font-viewer 3.10.0-1
gnome-icon-theme 3.10.0-1
gnome-icon-theme-symbolic 3.10.1-1
gnome-ppp 0.3.23-8
gnome-system-monitor 3.10.1-1
gnu-netcat 0.7.1-4
gnupg 2.0.22-1
gnuplot 4.6.3-1
gnutls 3.2.5-1
google-chrome-dev 29.0.1530.2-1
gparted 0.16.2-1
gpgme 1.4.3-1
gpm 1.20.7-4
graphite 1:1.2.3-1
grep 2.14-2
groff 1.22.2-5
grub 2.00.5086-1
gsettings-desktop-schemas 3.10.1-1
gsfonts 1.0.7pre44-3
gsm 1.0.13-7
gsmartcontrol 0.8.7-3
gstreamer0.10 0.10.36-2
gstreamer0.10-bad 0.10.23-5
gstreamer0.10-bad-plugins 0.10.23-5
gstreamer0.10-base 0.10.36-1
gstreamer0.10-base-plugins 0.10.36-1
gstreamer0.10-good 0.10.31-3
gstreamer0.10-good-plugins 0.10.31-3
gstreamer0.10-ugly 0.10.19-6
gstreamer0.10-ugly-plugins 0.10.19-6
gtk-engines 2.21.0-1
